config,n_seeds,recall20_mean,recall20_std,ndcg20_mean,ndcg20_std
mfbpr,2,0.02988283435521475,0.00018466240779764368,0.02682092503358775,0.0001370377557664619
lightgcn,2,0.09010850642594875,2.981635216023309e-05,0.07639183536591279,9.633210825258044e-05
simgcl,2,0.10799570145169221,0.00023111113220336335,0.09330657458151885,0.0001151319420623342
lightgcl_s0,3,0.10051546682413663,0.0008163506339327768,0.0865806815901693,0.0007165574977584047
s2_a0.3,3,0.10193257590971667,0.0006705351994495402,0.08787515713085753,0.0005011922792046965
s3_a1.0_tw10,3,0.10153270836470586,0.0005664572389512168,0.08748711079508613,0.00031651420787096306
