config,seed,epoch,returncode,elapsed_sec,nan_detected,recall@20,ndcg@20,recall@40,ndcg@40
mfbpr,0,100,0,899.7,False,0.029752258314430874,0.02672402470720678,0.051005981153919536,0.03450784776362219
lightgcn,0,100,0,1068.5,False,0.09012958977075158,0.0764599524529042,0.1454855174373454,0.09671815348124631
lightgcl_s0,0,100,0,1052.1,False,0.10015171525447399,0.08637500947832923,0.1593102973527008,0.10789715948308067
s1_band005_015,0,100,0,1051.1,False,0.09915739011059843,0.08577791878157384,0.1574832739028542,0.10690613671069424
s1_band002_010,0,100,0,1080.2,False,0.10059862379813472,0.08630603228278562,0.15683629866238913,0.10665634790381143
s1_band010_020,0,100,0,1051.4,False,0.09902623346032202,0.0853448596470891,0.15683862338792434,0.10640782632418212
s2_a0.3,0,100,0,1055.8,False,0.10118409357076316,0.08754718065920848,0.16104880775235733,0.1092885950651072
s2_a0.5,0,100,0,1058.0,False,0.10110652370253105,0.087438744478393,0.16124760725276926,0.10930702627180022
s3_a1.0_tw10,0,100,0,1056.3,False,0.10094304657892827,0.08725986132265862,0.16002683090190134,0.10875075628991811
s3_a1.5_tw10,0,100,0,1052.7,False,0.10088432629356175,0.08687870556659577,0.15999847828331737,0.10835975819827884
s3_a1.0_tw5,0,100,0,1054.8,False,0.10072732111610863,0.08693621568734199,0.16041713747630723,0.10861081624736232
